publishedAt,title,body,url,source,description
2025-07-07T20:20:46Z,"Quem é o novo presidente da Petros, o fundo de pensão dos funcionários da Petrobras","RIO - O Conselho Deliberativo, instância máxima de governança da Petros — fundo de pensão dos funcionários da Petrobras —, aprovou o nome do engenheiro Marcelo Farinha para a presidência da entidade.… [+1839 chars]","https://www.terra.com.br/economia/quem-e-o-novo-presidente-da-petros-o-fundo-de-pensao-dos-funcionarios-da-petrobras,793ac0aa8d71a49647e58793bb03403aco8axpbp.html",Terra.com.br,O engenheiro Marcelo Farinha assumirá a cadeira que até algumas semanas atrás era ocupada pelo economista Henrique Jager
2025-07-07T18:15:01Z,Tuvis relembra início enquanto foca no futuro,"A tuvis, empresa israelense-brasileira que oferece soluções de produtividade, segurança e compliance para comunicação corporativa, anuncia seu foco no futuro e nas inovações que redefinem o mercado d… [+3148 chars]",https://valor.globo.com/patrocinado/dino/noticia/2025/07/07/tuvis-relembra-inicio-enquanto-foca-no-futuro-1.ghtml,Globo,"A Tuvis, empresa israelense-brasileira, agora foca em segurança e compliance para múltiplos canais (Telegram, iMessage, etc.). Com DLP próprio desenvolvido pelo CTO Ron Korland, a Tuvis visa garantir comunicação produtiva e segura, atendendo mais de 100 clien…"
2025-07-07T18:14:33Z,Tuvis relembra início enquanto foca no futuro,"A tuvis, empresa israelense-brasileira que oferece soluções de produtividade, segurança e compliance para comunicação corporativa, anuncia seu foco no futuro e nas inovações que redefinem o mercado d… [+3176 chars]","https://www.terra.com.br/noticias/tuvis-relembra-inicio-enquanto-foca-no-futuro,364a9b2ab2dcc45acd0a0e7f3a711300vuk7va6f.html",Terra.com.br,"A Tuvis, empresa israelense-brasileira, agora foca em segurança e compliance para múltiplos canais (Telegram, iMessage, etc.). Com DLP próprio desenvolvido pelo CTO Ron Korland, a Tuvis visa garantir comunicação produtiva e segura, atendendo mais de 100 clien…"
2025-07-08T21:57:48Z,Governo pede fiscalização rigorosa após “aumento indevido” da gasolina,"Em ofício encaminhado nesta terça-feira (8/7), o Ministério de Minas e Energia (MME) cobrou atuação rigorosa dos órgãos de fiscalização, após identificar aumento indevido no preço da gasolina em Mina… [+2198 chars]",https://www.metropoles.com/brasil/governo-pede-fiscalizacao-rigorosa-apos-aumento-indevido-da-gasolina,Metropoles.com,"Ministério de Minas e Energia (MME) diz ter identificado aumento indevido da gasolina em MG e no DF, e acionou órgãos fiscalizadores"
2025-07-08T21:55:00Z,Tuvis propõe inovação ao oferecer segurança no WhatsApp,"Em um cenário no qual abrir o WhatsApp ao acordar já é um hábito automático para a maioria dos brasileiros, e conversas com gerentes de banco, empresas e fornecedores se misturam às mensagens familia… [+2859 chars]",https://valor.globo.com/patrocinado/dino/noticia/2025/07/08/tuvis-propoe-inovacao-ao-oferecer-seguranca-no-whatsapp-1.ghtml,Globo,Startup israelense-brasileira aumenta a segurança e conformidade das empresas em aplicativos como WhatsApp
2025-07-08T21:39:01Z,Ministro de Minas e Energia cobra ação por alta na gasolina em MG e DF,"O Ministério de Minas e Energia afirma que identificou aumentos indevidos no preço da gasolina em Minas Gerais e no Distrito Federal, mesmo após a Petrobras anunciar uma redução de R$ 0,17 por litro.… [+989 chars]",https://www.congressoemfoco.com.br/noticia/110052/ministro-de-minas-e-energia-cobra-acao-por-alta-na-gasolina-em-mg-e-df,Congressoemfoco.com.br,Alexandre Silveira quer punição para postos que não acompanharam redução da Petrobras e elevaram preços.
2025-07-08T20:54:27Z,Ibovespa fecha em queda com atenção para Trump e baixa de varejistas; veja destaques,"SÃO PAULO (Reuters) O Ibovespa fechou com um declínio modesto nesta terça-feira, com Petrobras atenuando a pressão negativa de papéis como WEG (WEGE3) e BTG Pactual (BPAC11), enquanto agentes finance… [+4121 chars]",https://www.infomoney.com.br/mercados/ibovespa-fecha-em-queda-com-atencao-para-trump-e-baixa-de-varejistas-veja-destaques/,InfoMoney,"Em Wall Street, o S&P 500 encerrou com variação negativa de 0,07%, enquanto o Nasdaq apontou acréscimo de 0,03% e o Dow Jones cedeu 0,37%
The post Ibovespa fecha em queda com atenção para Trump e baixa de varejistas; veja destaques appeared first on InfoMoney."
2025-07-08T20:27:59Z,"Dólar comercial volta a cair e fecha a R$ 5,445; Ibovespa recua 0,13%","ASSINE VEJA NEGÓCIOSDólar comercial volta a cair e fecha a R$ 5,445; Ibovespa recua 0,13%
Por Ana Paula Ribeiro
 8 jul 2025, 17h27 
Dólar (Freepik/Domínio Público)
Continua após publicidade
O dó… [+2013 chars]",https://veja.abril.com.br/economia/dolar-comercial-volta-a-cair-e-fecha-a-r-5445-ibovespa-recua-013/,Abril.com.br,Ações da Petrobras sobem mais de 1% com valorização do petróleo no exterior
2025-07-09T23:35:12Z,,"Segundo maior parceiro comercial do Brasil, os Estados Unidos responderam por 12% das exportações brasileiras para o país, no primeiro semestre de 2025, com pouco mais de US$ 20 bilhões.
Mas os EUA … [+1117 chars]",https://economia.uol.com.br/colunas/jose-paulo-kupfer/2025/07/09/economia-e-pretexto-de-trump-para-tentar-interferir-na-politica-brasileira.htm,Uol.com.br,"É difícil não reagir com o fígado às absurdas tentativas de interferência do presidente americano, Donald Trump, nas coisas do Brasil. Trump anunciou hoje, em acintosa carta ao presidente Lula, a imposição de tarifas de 50% a todas as importações ameri"
2025-07-09T22:47:19Z,"Taxação de Trump acende alerta sobre relação de petroleiras americanas na Foz do Amazonas, dizem analistas","A decisão do presidente americano, Donald Trump, de impor tarifa de importação de 50% sobre todos os produtos brasileiros pode afetar as relações das petroleiras americanas que atuam no Brasil, diz F… [+2349 chars]",https://valor.globo.com/empresas/noticia/2025/07/09/taxao-de-trump-acende-alerta-sobre-relao-de-petroleiras-americanas-na-foz-do-amazonas-dizem-analistas.ghtml,Globo,"Em junho, em leilão da Agência Nacional de Petróleo, as americanas Chevron e Exxon arremataram áreas na Foz do Amazonas, na Margem Equatorial"
